lidar_end_time     cur_frame_time(s)      ekf_consuming_time(s)
1693765379.220109    0.008692             0.004322
1693765379.250967    0.004768             0.002486
1693765379.287018    0.007150             0.002720
1693765379.320282    0.008442             0.003531
1693765379.350253    0.006961             0.002649
1693765379.387331    0.007000             0.003067
1693765379.420069    0.007875             0.003326
1693765379.454085    0.008287             0.003657
1693765379.487067    0.006166             0.002697
1693765379.518819    0.008911             0.003854
1693765379.553428    0.005242             0.002395
1693765379.587337    0.008185             0.003210
1693765379.617335    0.007548             0.003049
1693765379.654002    0.006451             0.002998
1693765379.687311    0.006119             0.002806
1693765379.720065    0.005494             0.002494
1693765379.753318    0.005916             0.002647
1693765379.786998    0.005953             0.002809
1693765379.820306    0.006213             0.002686
1693765379.853349    0.006509             0.002831
1693765379.887317    0.010815             0.005101
1693765379.920257    0.006913             0.002815
1693765379.954129    0.009981             0.004584
1693765379.987030    0.007188             0.003429
1693765380.020156    0.007013             0.002939
1693765380.053314    0.007340             0.003173
1693765380.086294    0.008847             0.004118
1693765380.118737    0.006033             0.002286
1693765380.153368    0.005631             0.002489
1693765380.186245    0.004577             0.001903
1693765380.220080    0.005141             0.002195
1693765380.253284    0.007389             0.003373
1693765380.284930    0.005257             0.002271
1693765380.320301    0.006337             0.002814
1693765380.353377    0.006244             0.002453
1693765380.383870    0.007983             0.003161
1693765380.420274    0.005088             0.002434
1693765380.452776    0.006030             0.002436
1693765380.487045    0.004743             0.002188
1693765380.521016    0.006346             0.002782
1693765380.551105    0.005314             0.002430
1693765380.586296    0.008306             0.003498
1693765380.620310    0.007001             0.003124
1693765380.649679    0.004943             0.002223
1693765380.687299    0.005911             0.002635
1693765380.719279    0.006630             0.003026
1693765380.753284    0.004852             0.002210
1693765380.787011    0.004822             0.002083
1693765380.820758    0.007489             0.003276
1693765380.853356    0.004768             0.002116
1693765380.887322    0.005815             0.002480
1693765380.920063    0.006275             0.002734
1693765380.954070    0.005626             0.002499
1693765380.987015    0.005842             0.002627
1693765381.021015    0.005765             0.002531
1693765381.053260    0.005845             0.002181
1693765381.086303    0.005859             0.002668
1693765381.120277    0.006102             0.002636
1693765381.153316    0.006099             0.002729
1693765381.187284    0.007144             0.003341
1693765381.220070    0.005715             0.002529
1693765381.253277    0.006408             0.003081
1693765381.287008    0.008331             0.003665
1693765381.320410    0.004983             0.002262
1693765381.353333    0.006245             0.002855
1693765381.387240    0.008059             0.003247
1693765381.420238    0.005041             0.002343
1693765381.454087    0.007127             0.003185
1693765381.486324    0.008096             0.003572
1693765381.521007    0.006335             0.002942
1693765381.553269    0.006307             0.002928
1693765381.584264    0.005398             0.002417
1693765381.620255    0.005557             0.002533
1693765381.653304    0.007263             0.003214
1693765381.683995    0.005840             0.002802
1693765381.720066    0.007470             0.003997
1693765381.751714    0.005392             0.002548
1693765381.787008    0.007937             0.003383
1693765381.820548    0.008091             0.003634
1693765381.851329    0.004720             0.002027
1693765381.887300    0.004643             0.001799
1693765381.920222    0.005861             0.002501
1693765381.949931    0.005168             0.002374
1693765381.987008    0.005898             0.002717
1693765382.019578    0.006982             0.003193
1693765382.053329    0.004787             0.001978
1693765382.087315    0.008908             0.004125
1693765382.117968    0.007518             0.003207
1693765382.153978    0.006614             0.002231
1693765382.187295    0.008794             0.003597
1693765382.216216    0.005887             0.002353
1693765382.253259    0.006235             0.002317
1693765382.286233    0.007100             0.003359
1693765382.320284    0.005748             0.002622
1693765382.353303    0.008237             0.003555
1693765382.387285    0.006756             0.002814
1693765382.420112    0.006131             0.002469
1693765382.454043    0.006227             0.002646
1693765382.486998    0.004680             0.001906
1693765382.520992    0.005174             0.002184
1693765382.553328    0.005363             0.002191
1693765382.587360    0.008399             0.003824
1693765382.620221    0.004961             0.002361
1693765382.653970    0.006633             0.002967
1693765382.687199    0.006345             0.002892
1693765382.720042    0.004892             0.002351
1693765382.753266    0.005917             0.002662
1693765382.785949    0.004966             0.002263
1693765382.820248    0.010382             0.004659
1693765382.853322    0.005667             0.002673
1693765382.885026    0.007275             0.003009
1693765382.920225    0.005448             0.002634
1693765382.953474    0.006948             0.003159
1693765382.984255    0.004926             0.002195
1693765383.020988    0.007000             0.003344
1693765383.052169    0.007734             0.003501
1693765383.087350    0.006586             0.002544
1693765383.120244    0.008701             0.004230
1693765383.152036    0.004996             0.002223
1693765383.187295    0.007865             0.003097
1693765383.219899    0.006392             0.002778
1693765383.250544    0.005115             0.002257
1693765383.287101    0.007358             0.003415
1693765383.318534    0.005574             0.002592
1693765383.353328    0.004259             0.001701
1693765383.387310    0.008319             0.003475
1693765383.417679    0.007363             0.003225
1693765383.454049    0.005153             0.002397
1693765383.487002    0.008230             0.003811
1693765383.516493    0.006451             0.002736
1693765383.553325    0.005229             0.002313
1693765383.585799    0.007507             0.003591
1693765383.620229    0.005060             0.002267
1693765383.653968    0.005864             0.002789
1693765383.684552    0.006187             0.002450
1693765383.720031    0.006268             0.002821
1693765383.753248    0.005663             0.002589
1693765383.787009    0.009289             0.003378
1693765383.820258    0.007136             0.003247
1693765383.853305    0.006750             0.002740
1693765383.887312    0.005606             0.002550
1693765383.920065    0.006150             0.002898
1693765383.954048    0.005597             0.002503
1693765383.987012    0.005943             0.002649
1693765384.020984    0.006832             0.003120
1693765384.053324    0.005144             0.002446
1693765384.086007    0.004635             0.002007
1693765384.120227    0.006163             0.002923
1693765384.153964    0.005500             0.002565
1693765384.185155    0.004692             0.001941
1693765384.220027    0.006183             0.002597
1693765384.252535    0.006008             0.002922
1693765384.286264    0.004726             0.002084
1693765384.320331    0.007714             0.003115
1693765384.351520    0.006013             0.002706
1693765384.387267    0.006390             0.002663
1693765384.420048    0.008835             0.003097
1693765384.450788    0.006813             0.003100
1693765384.486993    0.006750             0.002652
1693765384.520251    0.007471             0.003198
1693765384.549410    0.004561             0.001731
1693765384.587295    0.009666             0.003358
1693765384.618583    0.007179             0.003074
1693765384.654206    0.004988             0.002219
1693765384.687116    0.007542             0.003726
1693765384.717206    0.004836             0.002106
1693765384.753234    0.008125             0.003551
1693765384.786138    0.007288             0.002920
1693765384.820124    0.005638             0.002672
1693765384.853306    0.006072             0.003024
1693765384.886230    0.005845             0.002644
1693765384.920042    0.006775             0.003165
1693765384.954026    0.005839             0.002716
1693765384.985982    0.006866             0.003415
1693765385.020984    0.005706             0.002500
1693765385.053314    0.005852             0.002163
1693765385.087289    0.009767             0.003934
1693765385.120225    0.005387             0.002374
1693765385.153941    0.005918             0.002610
1693765385.187282    0.006428             0.002905
1693765385.220028    0.005344             0.002415
1693765385.253235    0.006667             0.003243
1693765385.286969    0.004962             0.002222
1693765385.320251    0.006486             0.002999
1693765385.353305    0.009430             0.004338
1693765385.386104    0.004729             0.002087
1693765385.420196    0.006932             0.003212
1693765385.454033    0.006564             0.003157
1693765385.485673    0.004934             0.002202
1693765385.520986    0.006788             0.003059
1693765385.552794    0.004795             0.002085
1693765385.587102    0.006690             0.002965
1693765385.620243    0.006397             0.003047
